perturb_op,preserves_statistics,preserves_local_texture,is_global_operation,cluster_id,mean_corr_within,mean_corr_across,alignment,mean_degradation_excl_top,sign_ratio_positive,n_anchors,run
blur,True,False,True,0,0.9464285714285714,,partial,0.08803244750248707,0.5489,160000,imagenet_mnv2_050_exact
gaussian_noise,False,False,False,0,0.8982142857142856,,divergent,0.009177992537329252,0.51445625,160000,imagenet_mnv2_050_exact
mean_fill,True,False,False,0,0.9410714285714286,,partial,0.10337806328399009,0.544725,160000,imagenet_mnv2_050_exact
blur,True,False,True,0,0.8982142857142856,,partial,0.07659319998232098,0.54795,160000,imagenet_mnv2_050_crop_free
gaussian_noise,False,False,False,0,0.9107142857142856,,divergent,0.005989856438847365,0.5115875,160000,imagenet_mnv2_050_crop_free
mean_fill,True,False,False,0,0.9089285714285713,,partial,0.10417313573121077,0.54379375,160000,imagenet_mnv2_050_crop_free
blur,True,False,True,0,0.9285714285714284,,partial,0.08267108472684227,0.53991875,160000,imagenet_mnv2_100_exact
gaussian_noise,False,False,False,0,0.8607142857142855,,divergent,0.009818363138834324,0.5122,160000,imagenet_mnv2_100_exact
mean_fill,True,False,False,0,0.9249999999999999,,partial,0.08966357605501368,0.5366125,160000,imagenet_mnv2_100_exact
blur,True,False,True,0,0.9553571428571428,,partial,0.07500830210241904,0.54143125,160000,imagenet_mnv2_100_crop_free
gaussian_noise,False,False,False,0,0.9142857142857141,,divergent,0.00794560892676211,0.5141125,160000,imagenet_mnv2_100_crop_free
mean_fill,True,False,False,0,0.9374999999999998,,partial,0.08884571762673382,0.537575,160000,imagenet_mnv2_100_crop_free
blur,True,False,True,0,,0.18278749883706213,partial,0.10643226983736173,0.5465833333333333,12000,ntu60_tsm_exact
gaussian_noise,False,False,False,1,0.39009290206891406,0.14166764348235913,partial,0.2996104142896155,0.61325,12000,ntu60_tsm_exact
mean_fill,True,False,False,1,0.39009290206891406,0.2239073541917651,divergent,2.682130365657234,0.7590833333333333,12000,ntu60_tsm_exact
blur,True,False,True,0,,0.12498667113799974,partial,0.06884307927494794,0.5466666666666666,12000,ntu60_tsm_crop_free
gaussian_noise,False,False,False,1,0.333547532382741,0.04085258057342644,partial,0.19488427333806357,0.5849166666666666,12000,ntu60_tsm_crop_free
mean_fill,True,False,False,1,0.333547532382741,0.20912076170257304,divergent,1.9185071222254988,0.7229166666666667,12000,ntu60_tsm_crop_free
